title,id
High School DxD Hero,18116
Hayate no Gotoku!,92
Groove Adventure Rave,528
Divine Gate,13629
Buddy Complex,7674
Yu☆Gi☆Oh! Capsule Monsters,932
Mahoutsukai no Yome: Hoshi Matsu Hito,16035
Orenchi no Furo Jijou,9780
Garo: Honoo no Kokuin,9323
Flying Witch,13996
Onii-chan no Koto Nanka Zenzen Suki Janain Dakara ne!!,1633
Imouto sae Ireba Ii.,19723
Ganbare! Kickers,405
Mnemosyne - Munemoshune no Musume-tachi,817
Walkure Romanze,6628
Monster Farm,1823
Trigun,715
Nodame Cantabile,507
Nijiiro Days,14121
Renai Boukun,15466
Mob Psycho 100 II,22741
Tsubasa Chronicle Dai 2 Series,145
"Diabolik Lovers More, Blood",10958
Koukaku Kidoutai: Stand Alone Complex,274
Mushibugyou,5843
Kidou Senshi Gundam 00,475
Arslan Senki: Fuujin Ranbu,14904
Shingetsutan Tsukihime,616
Aku no Hana,5838
Schwarzesmarken,14994
Dog Days'',6956
Kure-nai,805
Kingdom,4106
Initial D First Stage,355
Denpa Kyoushi,11035
A Channel,1892
Ixion Saga DT,4910
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,15199
Suki na Mono wa Suki Dakara Shou ga nai!!,888
Triage X,10471
Isuca,10038
Photokano,5882
30-sai no Hoken Taiiku,1900
Magic Kaito,1341
Tokyo Ghoul:re 2nd Season,23878
Tegami Bachi Reverse,1465
Peach Girl,1263
Ginban Kaleidoscope,311
Seirei no Moribito,283
Lamune,883
3-gatsu no Lion,14882
Tokyo Mew Mew,709
Kakumeiki Valvrave 2nd Season,6644
Joker Game,14122
Grancrest Senki,18115
Mai-HiME,454
Shikabane Hime: Aka,612
Servant x Service,6308
Ueki no Housoku,1485
Sengoku Basara,603
Inukami!,339
.hack//SIGN,1148
Amaenaide yo!!,3
Aa! Megami-sama,98
Shingeki no Bahamut: Virgin Soul,16356
Gyakkyou Burai Kaiji: Ultimate Survivor,772
Satsuriku no Tenshi,21367
Ojamajo Doremi,401
Hatsukoi Limited,316
Sora o Miageru Shoujo no Hitomi ni Utsuru Sekai,484
Jigoku Shoujo Mitsuganae,736
Handa-kun,15719
"Ore, Twintails ni Narimasu.",9810
Break Blade (2014),8329
Sousei no Aquarion,1207
Daitoshokan no Hitsujikai,9321
Sola,640
Mermaid Melody Pichi Pichi Pitch,466
Nourin,7683
Fate/kaleid liner Prisma☆Illya 2wei!,8679
Tales of Zestiria the X 2nd Season,17886
Amaama to Inazuma,15892
Gugure! Kokkuri-san,9320
Kiba,404
Masou Gakuen HxH,14644
Onegai☆Twins,130
Ai Tenshi Densetsu Wedding Peach,1483
Maken-Ki! Two,7587
Irozuku Sekai no Ashita kara,22733
Devils' Line,21255
Bishoujo Senshi Sailor Moon R,4196
Pokémon Advanced Generation,1946
Danna ga Nani o Itteiru ka Wakaranai Ken 2-sure-me,11490
Tetsuwan Birdy Decode,183
Castlevania,20894
Sengoku Otome: Momoiro Paradox,1895
Yume-iro Pâtissière,766
FLCL,1044
Ichigo 100%,116
Gift: Eternal Rainbow,492
Ai yori Aoshi: Enishi,157
Yozakura Quartet,764
Kuragehime,1499
Comet Lucifer,13923
Z/X: Ignition,7710
Saenai Heroine no Sodatekata ♭,15675
Utawarerumono: Itsuwari no Kamen,13628
Serial Experiments Lain,605
Senran Kagura,5194
Sidonia no Kishi: Daikyuu Wakusei Seneki,9252
Berserk 2nd Season,17868
Granblue Fantasy The Animation,14880
Kujira no Kora wa Sajou ni Utau,18547
School Rumble Ni Gakki,1161
Ore-tachi ni Tsubasa wa Nai,1877
Kidou Senshi Gundam 00 Season 2,476
Kaibutsu Oujo,479
Pupa,6642
Nobunagun,7682
Junketsu no Maria,9945
ReLIFE Kanketsu-hen,19509
Happiness,839
Test123,894
Major S2,4897
Kekkai Sensen & BEYOND,18323
Kingdom (2013),6237
Punch Line,10970
Itsudatte Bokura no Koi wa 10 Centi Datta.,21636
